REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,1999/05/01 00:30,7842.60667,29.33,TRADE
NSW1,1999/05/01 01:00,7809.705,31.46,TRADE
NSW1,1999/05/01 01:30,7524.95333,30.57,TRADE
NSW1,1999/05/01 02:00,7092.235,26.29,TRADE
NSW1,1999/05/01 02:30,6682.93667,22.0,TRADE
NSW1,1999/05/01 03:00,6308.32,22.4,TRADE
NSW1,1999/05/01 03:30,6042.07333,19.6,TRADE
NSW1,1999/05/01 04:00,5761.49,14.49,TRADE
NSW1,1999/05/01 04:30,5682.72167,13.23,TRADE
NSW1,1999/05/01 05:00,5617.28333,12.81,TRADE
NSW1,1999/05/01 05:30,5669.23667,15.58,TRADE
NSW1,1999/05/01 06:00,5808.25667,17.28,TRADE
NSW1,1999/05/01 06:30,6031.48167,20.15,TRADE
NSW1,1999/05/01 07:00,6295.8,22.05,TRADE
NSW1,1999/05/01 07:30,6698.73333,25.07,TRADE
NSW1,1999/05/01 08:00,7230.89667,26.45,TRADE
NSW1,1999/05/01 08:30,7632.56,31.24,TRADE
NSW1,1999/05/01 09:00,7933.525,31.07,TRADE
NSW1,1999/05/01 09:30,8252.44333,37.28,TRADE
NSW1,1999/05/01 10:00,8196.22,35.13,TRADE
NSW1,1999/05/01 10:30,8092.045,36.48,TRADE
NSW1,1999/05/01 11:00,7970.05,34.59,TRADE
NSW1,1999/05/01 11:30,7819.65833,33.72,TRADE
NSW1,1999/05/01 12:00,7641.00167,33.2,TRADE
NSW1,1999/05/01 12:30,7585.91667,33.91,TRADE
NSW1,1999/05/01 13:00,7513.69667,33.26,TRADE
NSW1,1999/05/01 13:30,7388.50333,30.5,TRADE
NSW1,1999/05/01 14:00,7242.57333,27.7,TRADE
NSW1,1999/05/01 14:30,7190.41333,27.49,TRADE
NSW1,1999/05/01 15:00,7109.81167,26.95,TRADE
NSW1,1999/05/01 15:30,7054.72667,26.65,TRADE
NSW1,1999/05/01 16:00,7139.33833,27.92,TRADE
NSW1,1999/05/01 16:30,7189.89333,28.29,TRADE
NSW1,1999/05/01 17:00,7504.355,28.2,TRADE
NSW1,1999/05/01 17:30,7807.95667,30.93,TRADE
NSW1,1999/05/01 18:00,8607.57833,43.08,TRADE
NSW1,1999/05/01 18:30,8700.675,46.46,TRADE
NSW1,1999/05/01 19:00,8449.79833,35.36,TRADE
NSW1,1999/05/01 19:30,8144.405,29.49,TRADE
NSW1,1999/05/01 20:00,7931.41167,29.17,TRADE
NSW1,1999/05/01 20:30,7741.97833,28.23,TRADE
NSW1,1999/05/01 21:00,7612.92667,28.88,TRADE
NSW1,1999/05/01 21:30,7514.11333,28.58,TRADE
NSW1,1999/05/01 22:00,7365.7,27.12,TRADE
NSW1,1999/05/01 22:30,7515.38167,28.03,TRADE
NSW1,1999/05/01 23:00,7560.23,27.7,TRADE
NSW1,1999/05/01 23:30,7529.17167,28.83,TRADE
NSW1,1999/05/02 00:00,7343.94,28.08,TRADE
NSW1,1999/05/02 00:30,7107.20833,27.44,TRADE
NSW1,1999/05/02 01:00,6768.02167,17.87,TRADE
NSW1,1999/05/02 01:30,6521.13667,23.4,TRADE
NSW1,1999/05/02 02:00,6281.005,19.7,TRADE
NSW1,1999/05/02 02:30,6027.12,16.41,TRADE
NSW1,1999/05/02 03:00,5755.955,15.39,TRADE
NSW1,1999/05/02 03:30,5542.10167,14.74,TRADE
NSW1,1999/05/02 04:00,5458.68667,14.1,TRADE
NSW1,1999/05/02 04:30,5334.57167,13.01,TRADE
