REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,1999/07/01 00:30,8515.46,45.88,TRADE
NSW1,1999/07/01 01:00,8360.71833,45.99,TRADE
NSW1,1999/07/01 01:30,8139.6,44.09,TRADE
NSW1,1999/07/01 02:00,7763.65333,34.7,TRADE
NSW1,1999/07/01 02:30,7335.37,29.01,TRADE
NSW1,1999/07/01 03:00,6883.97,23.41,TRADE
NSW1,1999/07/01 03:30,6573.94333,22.54,TRADE
NSW1,1999/07/01 04:00,6313.965,16.53,TRADE
NSW1,1999/07/01 04:30,6214.15333,14.97,TRADE
NSW1,1999/07/01 05:00,6197.81833,14.78,TRADE
NSW1,1999/07/01 05:30,6394.09167,14.99,TRADE
NSW1,1999/07/01 06:00,6746.815,23.82,TRADE
NSW1,1999/07/01 06:30,7501.55167,29.91,TRADE
NSW1,1999/07/01 07:00,8282.41833,38.27,TRADE
NSW1,1999/07/01 07:30,8456.155,25.33,TRADE
NSW1,1999/07/01 08:00,9037.735,44.28,TRADE
NSW1,1999/07/01 08:30,9174.82167,41.93,TRADE
NSW1,1999/07/01 09:00,9063.72833,27.98,TRADE
NSW1,1999/07/01 09:30,9349.67833,39.06,TRADE
NSW1,1999/07/01 10:00,9433.85333,31.03,TRADE
NSW1,1999/07/01 10:30,9348.84,28.16,TRADE
NSW1,1999/07/01 11:00,9276.93,38.21,TRADE
NSW1,1999/07/01 11:30,9002.12,33.41,TRADE
NSW1,1999/07/01 12:00,8866.52,25.59,TRADE
NSW1,1999/07/01 12:30,8962.55,29.93,TRADE
NSW1,1999/07/01 13:00,8944.18833,32.67,TRADE
NSW1,1999/07/01 13:30,8898.01667,30.19,TRADE
NSW1,1999/07/01 14:00,8877.27833,30.91,TRADE
NSW1,1999/07/01 14:30,8832.64667,32.46,TRADE
NSW1,1999/07/01 15:00,8735.56333,29.98,TRADE
NSW1,1999/07/01 15:30,8799.81333,31.16,TRADE
NSW1,1999/07/01 16:00,8955.045,37.31,TRADE
NSW1,1999/07/01 16:30,9320.63167,35.88,TRADE
