REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,1999/02/01 00:30,6135.45833,14.71,TRADE
NSW1,1999/02/01 01:00,5973.37333,14.5,TRADE
NSW1,1999/02/01 01:30,5803.53167,16.2,TRADE
NSW1,1999/02/01 02:00,5558.065,14.38,TRADE
NSW1,1999/02/01 02:30,5378.94833,14.27,TRADE
NSW1,1999/02/01 03:00,5362.88833,14.11,TRADE
NSW1,1999/02/01 03:30,5324.43833,13.55,TRADE
NSW1,1999/02/01 04:00,5455.66833,14.24,TRADE
NSW1,1999/02/01 04:30,5622.72333,15.07,TRADE
NSW1,1999/02/01 05:00,5818.525,15.49,TRADE
NSW1,1999/02/01 05:30,6503.425,17.16,TRADE
NSW1,1999/02/01 06:00,7101.585,18.66,TRADE
NSW1,1999/02/01 06:30,7363.91667,17.6,TRADE
NSW1,1999/02/01 07:00,7868.02167,18.33,TRADE
NSW1,1999/02/01 07:30,7983.92333,14.93,TRADE
NSW1,1999/02/01 08:00,8149.17167,15.81,TRADE
NSW1,1999/02/01 08:30,8449.52,16.7,TRADE
NSW1,1999/02/01 09:00,8584.285,16.01,TRADE
NSW1,1999/02/01 09:30,8502.92167,16.86,TRADE
NSW1,1999/02/01 10:00,8498.765,17.54,TRADE
NSW1,1999/02/01 10:30,8497.86333,17.89,TRADE
NSW1,1999/02/01 11:00,8512.72333,17.91,TRADE
NSW1,1999/02/01 11:30,8483.20833,18.03,TRADE
NSW1,1999/02/01 12:00,8455.30333,18.2,TRADE
NSW1,1999/02/01 12:30,8442.63,17.97,TRADE
NSW1,1999/02/01 13:00,8401.09667,23.43,TRADE
NSW1,1999/02/01 13:30,8377.02333,22.46,TRADE
NSW1,1999/02/01 14:00,8340.645,22.98,TRADE
NSW1,1999/02/01 14:30,8178.54667,18.46,TRADE
NSW1,1999/02/01 15:00,8222.86167,21.21,TRADE
NSW1,1999/02/01 15:30,8352.70167,26.32,TRADE
NSW1,1999/02/01 16:00,8348.56833,24.91,TRADE
NSW1,1999/02/01 16:30,8277.155,24.82,TRADE
NSW1,1999/02/01 17:00,8265.85667,21.59,TRADE
NSW1,1999/02/01 17:30,8031.53667,17.51,TRADE
NSW1,1999/02/01 18:00,7830.155,14.89,TRADE
NSW1,1999/02/01 18:30,7602.83,15.22,TRADE
NSW1,1999/02/01 19:00,7513.16167,14.61,TRADE
NSW1,1999/02/01 19:30,7582.80167,14.93,TRADE
NSW1,1999/02/01 20:00,7546.54333,14.65,TRADE
NSW1,1999/02/01 20:30,7338.465,14.38,TRADE
NSW1,1999/02/01 21:00,7091.71,14.73,TRADE
NSW1,1999/02/01 21:30,7200.39833,14.31,TRADE
NSW1,1999/02/01 22:00,7289.71833,15.54,TRADE
NSW1,1999/02/01 22:30,7395.34333,16.41,TRADE
NSW1,1999/02/01 23:00,7385.6,15.67,TRADE
NSW1,1999/02/01 23:30,7330.63,20.51,TRADE
NSW1,1999/02/02 00:00,7138.45167,17.92,TRADE
NSW1,1999/02/02 00:30,6883.20833,18.21,TRADE
NSW1,1999/02/02 01:00,6491.03833,16.47,TRADE
NSW1,1999/02/02 01:30,6170.43667,18.32,TRADE
NSW1,1999/02/02 02:00,5863.37333,16.09,TRADE
NSW1,1999/02/02 02:30,5648.15,16.65,TRADE
NSW1,1999/02/02 03:00,5522.62167,15.0,TRADE
NSW1,1999/02/02 03:30,5464.63833,14.31,TRADE
NSW1,1999/02/02 04:00,5550.425,14.24,TRADE
NSW1,1999/02/02 04:30,5695.78667,14.39,TRADE
NSW1,1999/02/02 05:00,5980.19333,16.32,TRADE
NSW1,1999/02/02 05:30,6629.84333,19.08,TRADE
NSW1,1999/02/02 06:00,7191.455,18.9,TRADE
NSW1,1999/02/02 06:30,7418.25,17.82,TRADE
NSW1,1999/02/02 07:00,7894.04833,18.63,TRADE
NSW1,1999/02/02 07:30,8059.625,17.36,TRADE
NSW1,1999/02/02 08:00,8211.16667,16.42,TRADE
NSW1,1999/02/02 08:30,8618.66167,21.68,TRADE
NSW1,1999/02/02 09:00,8782.48667,23.29,TRADE
NSW1,1999/02/02 09:30,8744.18,22.98,TRADE
NSW1,1999/02/02 10:00,8660.525,21.67,TRADE
NSW1,1999/02/02 10:30,8690.39,26.76,TRADE
NSW1,1999/02/02 11:00,8709.73833,27.95,TRADE
NSW1,1999/02/02 11:30,8688.23667,29.19,TRADE
NSW1,1999/02/02 12:00,8667.14333,29.79,TRADE
NSW1,1999/02/02 12:30,8718.74667,36.47,TRADE
NSW1,1999/02/02 13:00,8727.72333,39.09,TRADE
NSW1,1999/02/02 13:30,8678.20833,44.0,TRADE
NSW1,1999/02/02 14:00,8657.37167,48.89,TRADE
NSW1,1999/02/02 14:30,8600.765,50.93,TRADE
NSW1,1999/02/02 15:00,8665.28167,57.76,TRADE
NSW1,1999/02/02 15:30,8694.75333,58.59,TRADE
NSW1,1999/02/02 16:00,8724.385,59.04,TRADE
NSW1,1999/02/02 16:30,8630.70333,51.78,TRADE
NSW1,1999/02/02 17:00,8527.62167,39.2,TRADE
NSW1,1999/02/02 17:30,8233.19167,25.82,TRADE
NSW1,1999/02/02 18:00,8063.19,18.64,TRADE
NSW1,1999/02/02 18:30,7786.32,16.78,TRADE
NSW1,1999/02/02 19:00,7691.66333,16.36,TRADE
NSW1,1999/02/02 19:30,7789.695,17.03,TRADE
NSW1,1999/02/02 20:00,7888.88333,18.54,TRADE
NSW1,1999/02/02 20:30,7678.11,17.95,TRADE
NSW1,1999/02/02 21:00,7429.48833,16.62,TRADE
NSW1,1999/02/02 21:30,7514.79,18.22,TRADE
NSW1,1999/02/02 22:00,7552.20833,17.96,TRADE
NSW1,1999/02/02 22:30,7609.385,19.2,TRADE
NSW1,1999/02/02 23:00,7590.935,19.94,TRADE
NSW1,1999/02/02 23:30,7464.81333,25.87,TRADE
NSW1,1999/02/03 00:00,7225.60167,23.86,TRADE
NSW1,1999/02/03 00:30,6982.89833,21.06,TRADE
NSW1,1999/02/03 01:00,6571.73667,17.72,TRADE
NSW1,1999/02/03 01:30,6217.415,21.34,TRADE
NSW1,1999/02/03 02:00,5937.66833,17.9,TRADE
NSW1,1999/02/03 02:30,5695.41333,17.8,TRADE
NSW1,1999/02/03 03:00,5605.65333,17.68,TRADE
NSW1,1999/02/03 03:30,5538.34667,17.12,TRADE
NSW1,1999/02/03 04:00,5560.25167,17.47,TRADE
NSW1,1999/02/03 04:30,5802.71667,17.86,TRADE
NSW1,1999/02/03 05:00,6092.125,17.77,TRADE
NSW1,1999/02/03 05:30,6700.635,20.47,TRADE
NSW1,1999/02/03 06:00,7286.09167,23.06,TRADE
NSW1,1999/02/03 06:30,7435.90167,26.36,TRADE
NSW1,1999/02/03 07:00,7861.735,27.16,TRADE
NSW1,1999/02/03 07:30,8074.93833,27.37,TRADE
NSW1,1999/02/03 08:00,8158.78,22.86,TRADE
NSW1,1999/02/03 08:30,8498.47667,17.97,TRADE
NSW1,1999/02/03 09:00,8699.55167,18.0,TRADE
NSW1,1999/02/03 09:30,8652.37333,19.15,TRADE
NSW1,1999/02/03 10:00,8621.45833,21.37,TRADE
NSW1,1999/02/03 10:30,8614.14,21.19,TRADE
NSW1,1999/02/03 11:00,8656.7,25.28,TRADE
NSW1,1999/02/03 11:30,8613.22333,24.06,TRADE
NSW1,1999/02/03 12:00,8647.80333,25.24,TRADE
NSW1,1999/02/03 12:30,8700.215,28.92,TRADE
NSW1,1999/02/03 13:00,8702.10167,29.9,TRADE
NSW1,1999/02/03 13:30,8718.39167,34.16,TRADE
NSW1,1999/02/03 14:00,8727.93667,41.96,TRADE
NSW1,1999/02/03 14:30,8635.845,31.48,TRADE
NSW1,1999/02/03 15:00,8701.385,44.34,TRADE
NSW1,1999/02/03 15:30,8816.26167,59.06,TRADE
NSW1,1999/02/03 16:00,8803.57333,54.93,TRADE
NSW1,1999/02/03 16:30,8661.42167,33.52,TRADE
NSW1,1999/02/03 17:00,8568.19167,34.55,TRADE
NSW1,1999/02/03 17:30,8281.56,27.54,TRADE
NSW1,1999/02/03 18:00,8096.085,21.54,TRADE
NSW1,1999/02/03 18:30,7884.81667,20.59,TRADE
NSW1,1999/02/03 19:00,7796.89167,18.92,TRADE
NSW1,1999/02/03 19:30,7859.18833,18.02,TRADE
NSW1,1999/02/03 20:00,7906.93833,24.17,TRADE
NSW1,1999/02/03 20:30,7723.38333,20.99,TRADE
NSW1,1999/02/03 21:00,7491.23833,19.01,TRADE
NSW1,1999/02/03 21:30,7534.59833,20.93,TRADE
NSW1,1999/02/03 22:00,7620.34,20.66,TRADE
NSW1,1999/02/03 22:30,7644.64667,24.12,TRADE
NSW1,1999/02/03 23:00,7592.98333,22.55,TRADE
NSW1,1999/02/03 23:30,7469.94333,26.74,TRADE
NSW1,1999/02/04 00:00,7256.41,21.85,TRADE
NSW1,1999/02/04 00:30,6964.305,20.76,TRADE
NSW1,1999/02/04 01:00,6573.535,17.11,TRADE
NSW1,1999/02/04 01:30,6226.625,19.59,TRADE
NSW1,1999/02/04 02:00,5952.53333,17.26,TRADE
NSW1,1999/02/04 02:30,5729.39667,15.91,TRADE
NSW1,1999/02/04 03:00,5598.46167,15.0,TRADE
NSW1,1999/02/04 03:30,5587.39,15.15,TRADE
NSW1,1999/02/04 04:00,5643.19167,14.95,TRADE
NSW1,1999/02/04 04:30,5852.48,17.4,TRADE
NSW1,1999/02/04 05:00,6129.39667,17.94,TRADE
NSW1,1999/02/04 05:30,6736.11167,24.11,TRADE
NSW1,1999/02/04 06:00,7285.2,22.12,TRADE
NSW1,1999/02/04 06:30,7495.70167,22.65,TRADE
NSW1,1999/02/04 07:00,7960.1,23.66,TRADE
NSW1,1999/02/04 07:30,8096.67333,20.68,TRADE
NSW1,1999/02/04 08:00,8253.80333,19.33,TRADE
