REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,1999/04/01 00:30,7540.81667,14.85,TRADE
NSW1,1999/04/01 01:00,7359.67333,14.88,TRADE
NSW1,1999/04/01 01:30,7086.10333,19.79,TRADE
NSW1,1999/04/01 02:00,6688.70333,20.87,TRADE
NSW1,1999/04/01 02:30,6336.54833,19.3,TRADE
NSW1,1999/04/01 03:00,6032.795,19.35,TRADE
NSW1,1999/04/01 03:30,5823.85667,16.64,TRADE
NSW1,1999/04/01 04:00,5700.45833,22.38,TRADE
NSW1,1999/04/01 04:30,5678.22833,17.2,TRADE
NSW1,1999/04/01 05:00,5766.88,16.52,TRADE
NSW1,1999/04/01 05:30,5987.74833,19.02,TRADE
NSW1,1999/04/01 06:00,6281.73667,23.21,TRADE
NSW1,1999/04/01 06:30,6902.90167,67.91,TRADE
NSW1,1999/04/01 07:00,7555.84833,80.35,TRADE
NSW1,1999/04/01 07:30,7539.71167,19.87,TRADE
NSW1,1999/04/01 08:00,7975.125,20.7,TRADE
NSW1,1999/04/01 08:30,8181.62333,17.95,TRADE
NSW1,1999/04/01 09:00,8129.92167,17.14,TRADE
NSW1,1999/04/01 09:30,8339.02167,17.31,TRADE
NSW1,1999/04/01 10:00,8519.395,17.38,TRADE
NSW1,1999/04/01 10:30,8382.32333,17.06,TRADE
NSW1,1999/04/01 11:00,8237.665,16.44,TRADE
NSW1,1999/04/01 11:30,8184.43833,17.45,TRADE
NSW1,1999/04/01 12:00,8156.16833,17.44,TRADE
NSW1,1999/04/01 12:30,8100.68833,17.4,TRADE
NSW1,1999/04/01 13:00,8042.19333,17.45,TRADE
NSW1,1999/04/01 13:30,7989.36167,17.01,TRADE
NSW1,1999/04/01 14:00,7971.66167,16.89,TRADE
NSW1,1999/04/01 14:30,7944.12333,15.48,TRADE
NSW1,1999/04/01 15:00,7825.43833,14.73,TRADE
NSW1,1999/04/01 15:30,7736.365,14.53,TRADE
NSW1,1999/04/01 16:00,7836.40667,14.89,TRADE
NSW1,1999/04/01 16:30,7933.55333,15.11,TRADE
NSW1,1999/04/01 17:00,8012.21167,14.92,TRADE
NSW1,1999/04/01 17:30,8057.62833,15.1,TRADE
NSW1,1999/04/01 18:00,8350.59167,20.18,TRADE
NSW1,1999/04/01 18:30,8466.21667,24.66,TRADE
NSW1,1999/04/01 19:00,8396.62167,23.07,TRADE
NSW1,1999/04/01 19:30,8145.08833,17.02,TRADE
NSW1,1999/04/01 20:00,7903.85,14.88,TRADE
NSW1,1999/04/01 20:30,7691.37,14.57,TRADE
NSW1,1999/04/01 21:00,7570.5,14.55,TRADE
NSW1,1999/04/01 21:30,7335.02667,14.54,TRADE
NSW1,1999/04/01 22:00,7065.695,14.44,TRADE
NSW1,1999/04/01 22:30,7297.42667,26.16,TRADE
NSW1,1999/04/01 23:00,7402.29333,29.6,TRADE
NSW1,1999/04/01 23:30,7443.06333,35.77,TRADE
NSW1,1999/04/02 00:00,7356.73167,32.78,TRADE
NSW1,1999/04/02 00:30,7128.52333,28.58,TRADE
NSW1,1999/04/02 01:00,7012.29833,28.44,TRADE
NSW1,1999/04/02 01:30,6804.285,28.83,TRADE
NSW1,1999/04/02 02:00,6420.28833,27.49,TRADE
