REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,1999/10/01 00:30,7532.65833,14.88,TRADE
NSW1,1999/10/01 01:00,7364.34333,14.79,TRADE
NSW1,1999/10/01 01:30,7143.37833,15.36,TRADE
NSW1,1999/10/01 02:00,6757.21167,15.69,TRADE
NSW1,1999/10/01 02:30,6366.175,14.39,TRADE
NSW1,1999/10/01 03:00,6122.395,13.13,TRADE
NSW1,1999/10/01 03:30,5882.21167,4.95,TRADE
NSW1,1999/10/01 04:00,5699.76333,4.96,TRADE
NSW1,1999/10/01 04:30,5659.23833,12.33,TRADE
NSW1,1999/10/01 05:00,5688.99667,13.49,TRADE
NSW1,1999/10/01 05:30,5890.96,12.97,TRADE
NSW1,1999/10/01 06:00,6143.97167,14.78,TRADE
NSW1,1999/10/01 06:30,6709.525,15.42,TRADE
NSW1,1999/10/01 07:00,7240.40833,15.87,TRADE
NSW1,1999/10/01 07:30,7211.49,14.73,TRADE
NSW1,1999/10/01 08:00,7566.47333,15.03,TRADE
NSW1,1999/10/01 08:30,7819.29667,14.94,TRADE
NSW1,1999/10/01 09:00,7996.535,14.99,TRADE
NSW1,1999/10/01 09:30,8369.89667,14.91,TRADE
NSW1,1999/10/01 10:00,8388.74833,14.47,TRADE
NSW1,1999/10/01 10:30,8434.58,14.71,TRADE
NSW1,1999/10/01 11:00,8360.82667,14.64,TRADE
NSW1,1999/10/01 11:30,8286.39333,14.64,TRADE
NSW1,1999/10/01 12:00,8219.61833,14.58,TRADE
NSW1,1999/10/01 12:30,8207.24333,14.46,TRADE
NSW1,1999/10/01 13:00,8133.27833,12.92,TRADE
NSW1,1999/10/01 13:30,8130.11667,12.91,TRADE
NSW1,1999/10/01 14:00,8092.22167,14.15,TRADE
NSW1,1999/10/01 14:30,8026.07333,14.12,TRADE
NSW1,1999/10/01 15:00,7869.31667,10.66,TRADE
NSW1,1999/10/01 15:30,7862.79333,14.15,TRADE
NSW1,1999/10/01 16:00,7795.785,14.12,TRADE
NSW1,1999/10/01 16:30,7785.98,10.35,TRADE
NSW1,1999/10/01 17:00,7901.53,10.28,TRADE
NSW1,1999/10/01 17:30,7921.87333,12.44,TRADE
NSW1,1999/10/01 18:00,8021.06833,13.11,TRADE
NSW1,1999/10/01 18:30,8145.73833,14.57,TRADE
NSW1,1999/10/01 19:00,8126.31,13.59,TRADE
NSW1,1999/10/01 19:30,7883.46667,12.67,TRADE
NSW1,1999/10/01 20:00,7647.67,11.83,TRADE
NSW1,1999/10/01 20:30,7520.62167,14.3,TRADE
NSW1,1999/10/01 21:00,7373.40667,13.51,TRADE
NSW1,1999/10/01 21:30,7196.15,13.29,TRADE
NSW1,1999/10/01 22:00,6973.675,11.29,TRADE
NSW1,1999/10/01 22:30,7323.60333,14.85,TRADE
NSW1,1999/10/01 23:00,7449.55,14.7,TRADE
NSW1,1999/10/01 23:30,7606.035,23.52,TRADE
NSW1,1999/10/02 00:00,7584.07167,17.42,TRADE
NSW1,1999/10/02 00:30,7465.33667,17.04,TRADE
NSW1,1999/10/02 01:00,7301.69,15.49,TRADE
NSW1,1999/10/02 01:30,7099.785,19.81,TRADE
NSW1,1999/10/02 02:00,6661.05667,19.21,TRADE
NSW1,1999/10/02 02:30,6270.04167,16.71,TRADE
NSW1,1999/10/02 03:00,5937.82833,14.93,TRADE
NSW1,1999/10/02 03:30,5655.47333,14.5,TRADE
NSW1,1999/10/02 04:00,5473.64333,13.5,TRADE
NSW1,1999/10/02 04:30,5356.42667,12.93,TRADE
NSW1,1999/10/02 05:00,5317.705,13.75,TRADE
NSW1,1999/10/02 05:30,5389.2,13.94,TRADE
NSW1,1999/10/02 06:00,5472.52333,14.0,TRADE
NSW1,1999/10/02 06:30,5701.97667,14.19,TRADE
NSW1,1999/10/02 07:00,5993.475,14.4,TRADE
NSW1,1999/10/02 07:30,6167.07,14.9,TRADE
NSW1,1999/10/02 08:00,6616.815,15.04,TRADE
NSW1,1999/10/02 08:30,6969.795,15.62,TRADE
NSW1,1999/10/02 09:00,7233.34333,16.25,TRADE
NSW1,1999/10/02 09:30,7543.52333,19.14,TRADE
NSW1,1999/10/02 10:00,7582.59333,18.15,TRADE
NSW1,1999/10/02 10:30,7485.85833,15.96,TRADE
NSW1,1999/10/02 11:00,7378.75833,16.29,TRADE
NSW1,1999/10/02 11:30,7275.51333,15.87,TRADE
